id,name,midia,release,description,image
11,Omega,1,2013,"The manga of the Omega series was announced along with the second season of the anime. Who ""signs"" his production is a mangaka called Bau. Only 5 chapters have been published, the first based on the first episode of the anime and the other four based on episodes of the second season. Initially they were published in the Japanese magazine Kerokero Ace by Kadokawa Shoten, and were later compiled into a single tankobon released on September 26, 2013.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmanga-omega.jpg?alt=media&token=e0c45b55-f61b-485d-832e-bf18e0ce22fe
12,Classic,2,1986,"Legend tells us that the Saints always appear when evil forces try to take over the world. In a distant age, there was a group of young men who protected Athena, the Goddess of War. They were called the Saints of Athena and always fought without weapons. It is said that with a movement of the hand, they were able to tear the sky and that with just one kick, they cracked the earth. Today again a group of horsemen with the same power and courage have come to earth.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fanime-classic.jpg?alt=media&token=eb5e89b0-0e5d-4805-a1e8-fcdfdbdc4b8d
13,Hades Chapter,2,2002,"It was not until 2002 that the ""Hades arc"", the finale to Kurumada's manga, was adapted into an original video animation (OVA) series. The project was divided into three chapters – ""Sanctuary"", ""Inferno"" and ""Elysion"" – spanning a total of 31 episodes.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fanime-hades-chapter.jpg?alt=media&token=9f931f34-4c7e-423c-9f99-0b9ab064c6b2
14,Soul of Gold,2,2015,"The story takes place parallel to the Hades Saga, more specifically after the destruction of the Western Wall. The Gold Saints were brought to Asgard and that is where the fighting takes place. New 7 God Warriors appear in history, with armor enhanced by the power of the Yggdrasil tree, brought back to Earth by Andreas Lise, Odin's new representative who took Hilda's place after she mysteriously fell ill.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fanime-soul-of-gold.jpg?alt=media&token=4be49de5-8789-415d-bba8-024f82afafe3
15,The Lost Canvas,2,2009,"In all, only 26 episodes were produced, released directly on DVD and Blu-Ray, divided into two seasons (13 episodes in each). The announcement of the second season took place on September 6, 2010 and the premiere took place only on February 23, 2011.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fanime-the-lost-canvas.jpg?alt=media&token=b697bdec-4e68-4229-a638-3d38741869ff
16,Omega,2,2012,"The series follows a young teenager known as Koga who becomes one of the 88 warriors protecting the Goddess Athena known as the Saints. As the Pegasus Bronze Saint, Koga embarks on a journey to increase his power to save Athena while meeting some other Saints. For the second season, the series tells the conflict between Athena and her sister Pallas which starts a new war.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fanime-omega.jpg?alt=media&token=8f9616b4-77d5-4097-ad82-bf1aafdcf9e1
17,Saintia Sho,2,2018,"The anime was announced on December 14, 2016, in leaked information days before the release of the Japanese magazine Champion Red scheduled for December 19. Just before that, on December 2nd, during CCXP 2016, in Brazil, the CEO of Toei Animation, mr. Kozo Morishita, had announced that there was an anime in production by Toei Animation, but had not informed what it was.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fanime-saintia-sho.png?alt=media&token=e2c60e60-b578-466f-85cd-abb6ef7e58ce
18,Cosmo Special,4,1988,"The Hypermith was originally published in the pages of the Japanese magazine Cosmo Special, it brings important details that help in understanding the origin of Saint Seiya and some factors never explained in the manga and anime. Because they were published before the Hades Saga, Episode G, and other sagas, some Hypermith items were the basis for these sagas when they were finally created.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmagazine-cosmo-special.jpg?alt=media&token=9d1ea2f7-867a-45eb-b22a-698f8839ec34
19,Encyclopedia,3,2001,"Official Encyclopedia of Saint Seiya. It brings a complete summary of the story presented in the manga (has no information about the anime, only about the manga), as well as the profile of all characters (with description, hit list, physical characteristics, degree of strength, etc.). The book features articles on mythology, a list of chapters, an interview with author Masami Kuruamada, and much more!",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fbook-encyclopedia.jpg?alt=media&token=69d7ac1b-f37c-4082-8736-84d32c77dff3
20,Do Cvidanija - Time of Promise,6,1997,"In 1997, in Japan, a CD of Saint Seiya was released called 1997 Drama and Song Collection - Shonenki (Tale of Youth). The CD has five tracks, three new songs at the time (Burning Blood, Born to be a Soldier and I Leave My Hear) and two English versions of two famous songs: Shining Star (Lullaby English version) and Soldier. Dream (English version of Soldier Dream itself). In addition, there is a 27-minute track called Do Cvidanija - Promise Time, a drama featuring the voices of Japanese voice actors Seiya, Shiryu, Hyoga, Shun, Ikki, Saori, Minu, Shunrei, and the orphanage children.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Faudio-do-cvidanija.jpg?alt=media&token=a64561ee-bb2f-4190-a692-6b4d754509a0
21,Evil Goddess Eris,7,1987,"When Seiya, Hy?ga and Shun visit Saori (Athena) at the orphanage, they meet an employee called Eri. She is possessed by Eris, the Goddess of Discord, and kidnaps Athena, planning to use the golden apple to suck her energy out, fully reincarnate and take over the world.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmovie-evil-goddess-eris.jpg?alt=media&token=7e452d55-1828-4c7d-acbf-cec626365181
22,The Heated Battle of the Gods,7,1988,"It starts with Cygnus Hyoga saving a stranger from being beaten to death in Siberia. The man reveals himself to come from the domains of the god Odin, Asgard, and claims something terrible is going to happen there.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmovie-the-heated-battle-of-the-gods.jpg?alt=media&token=3ab33699-fbb0-48ab-84d7-36f3a57b3cf4
23,Legend of Crimson Youth,7,1988,"Athena receives the visit of Phoebus Abel, her older brother and God of the Corona. He informs her that he has come to destroy humanity as punishment for their corruption, just as it was done in ancient times.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmovie-legend-of-crimson-youth.jpg?alt=media&token=35751a36-4aa1-4b55-8151-91ec490896e8
24,Warriors of the Final Holy Battle,7,1989,"The plot involves the coming of Lucifer to the Sanctuary, where his underlings systematically dispose of the surviving Gold Saints. Athena goes to Lucifer to ask for peace, placing herself in peril. The Bronze Saints must then come to her rescue, destroying Lucifer's Fallen Angels (Seima Tenshi in Japanese) in the process.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmovie-warriors-of-the-final-holy-battle.jpg?alt=media&token=c5d6c765-1e3b-45ae-a1e0-05e6f58f5b57
25,Heaven Chapter: Overture,7,2004,"After the bloody battle against Hades, goddess Athena's Saints are still recovering when they find themselves face to face with their newest and most formidable foe: the dreadful goddess Artemis, accompanied by her Angels. Artemis replaces Athena as the Earth guardian deity and takes over the Sanctuary, turning Athena's Saints into her servants.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmovie-heaven-chapter-overture.png?alt=media&token=87f46374-e653-4986-8110-f67491a1461f
26,Legend of Sanctuary,7,2014,"To commemorate the 40-year career of creator Masami Kurumada, Toei Animation produced the first film in Computer Graphics of Saint Seiya. However, the film project began in December 2010, with the first image / sketch being released at the time. The movie took about four years to complete and was released in Japanese theaters on June 21, 2014.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fmovie-legend-of-crimson-youth.jpg?alt=media&token=35751a36-4aa1-4b55-8151-91ec490896e8
27,Gigantomachy,3,2002,"The novel tells the struggle of the Saints of Athena against the Giants (Giants), allies of the Titans and led by the god Typhon, who commands through ""Fear."" Using his god cosmos, he can also increase the power of the Gigas, giving work to the Bronze Saints. Some new Saints appear in history, including Mei, the young man who must seal this evil. The story is divided into two volumes: The Mei Story and The Blood Story.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fbook-gigantomachy.jpg?alt=media&token=1653c843-8ae1-4d67-ae3d-57ed88d87966
28,Golden Age,3,2016,"The story takes place shortly after the Poseidon Saga and before the Hades Saga. The Saints of Athena face the goddess Astreia, goddess of justice. The warriors of Astreia are from a class called the ""Golden Tribe"". Two appear in the story: Ex (light armor) and Machina (dark armor). Hyoga and Shiryu face Ex but end up defeated. Shun also suffers from the villain's hand, but receives help from Ikki, who beats Ex. Seiya fights against Machina.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fbook-golden-age.jpg?alt=media&token=df84259b-147a-45d8-8602-b16b89318496
29,Saint Seiya Online,5,2013,Saint Seiya Online is an MMORPG completely set in the manga universe of the series.,https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fgame-saint-seiya-online.jpg?alt=media&token=53807f20-09b1-4d27-87b6-e42c661ff28b
30,Knights of the Zodiac,2,2019,"Netflix, in partnership with Toei Animation, produced an anime remake of Saint Seiya using 3D Computer Graphics.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fstreaming-knights-of-the-zodiac.jpg?alt=media&token=6d75bd35-424a-47fb-a36d-c73abf94f9a5
31,Memorial Story - Shaka,10,1988,"The name of this side story is: Memorial Story - Shaka. It has 31 pages and was later released, in a timely fashion, when the tankobons were produced. As such, few fans knew that this passage of history was actually a side story. She tells the story of when Ikki on Death Queen Island challenged the Black Saints and leader Jango for possession of the Phoenix Bronze Armor.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Foutside-story-memorial-story.jpg?alt=media&token=df92c67a-bb91-462f-a39a-501c7615ba83
32,Nebula Chain - Ties between Brothers,10,1988,"This side story was released on the pages of the rare Japanese magazine Jump Gold Selection 1. It was written by Takao Koyama (same as the story of the Durval movie), with illustrations by Nobuyoshi Sasakado (main animator of the Eris film). Ikki of Phoenix is believed to have died in the fight against Dococrates, but, as might be expected, he is an immortal bird. Secretly, Ikki visits his younger brother, Shun, and asks to go with him to his dead mother's grave. But when you return to Kido Mansion, an ominous shadow is approaching !?",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Foutside-story-nebula-chain.jpg?alt=media&token=38c6398b-6df9-46aa-98eb-a0d9842016f2
33,Saga! Presage of Ambition,10,1988,"This side story was released on the pages of the rare Japanese magazine Jump Gold Selection 2. It was written by Yoshiyuki Suga (the same one who wrote the story of the Eris and Abel movie), with illustrations by Shingo Araki and Michi Himeno (the two main ones). anime designers). It has six chapters and among other things, shows Shura going to the Grand Master Shion Room, which also has the presence of Ares (Arles), Grand Master's helper.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Foutside-story-saga.jpg?alt=media&token=8ce7ca0d-e2b1-437c-9660-cf40a006ff07
34,Athena's Great Love,10,1989,"This side story was released on the pages of the rare Japanese magazine Jump Gold Selection 3. It was written by Yoshiyuki Suga (the same one who wrote the story of the Eris and Abel movie), with illustrations by Shingo Araki and Michi Himeno (the two main ones). anime designers). It has three chapters, the first of which depicts the end of the battle of the Twelve Houses of the Zodiac, with a reflection of Saori (Athena).",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Foutside-story-athenas-great-love.jpg?alt=media&token=d4be0547-a356-41a5-acad-a296b19a4a54
35,Golden Legend (Ougon Densetsu),5,1987,"Saint Seiya's first game was for Nintendo 8 bit, in the best fight and rpg style, it was released on August 10, 1987 (60 pin cartridge). Titled Saint Seiya: Ougon Densetsu (Saint Seiya: Golden Legend). At first he does not follow much the original story, since at the time that was released many characters had not yet appeared in the anime and Bandai, producer of the game in partnership with Tose, decided to make adaptations. The game was also released in France (72-pin cartridge) on December 30, 1987.",https://firebasestorage.googleapis.com/v0/b/saint-seiya-api-accd5.appspot.com/o/debuts%2Fgame-golden-legend.jpg?alt=media&token=57593d6e-e672-4530-893c-ed57033095a9
