id,name,midia,release,description,image
25,Heaven Chapter: Overture,7,2004,"After the bloody battle against Hades, goddess Athena's Saints are still recovering when they find themselves face to face with their newest and most formidable foe: the dreadful goddess Artemis, accompanied by her Angels. Artemis replaces Athena as the Earth guardian deity and takes over the Sanctuary, turning Athena's Saints into her servants.",assets/debuts/movie-heaven-chapter-overture.png
26,Legend of Sanctuary,7,2014,"To commemorate the 40-year career of creator Masami Kurumada, Toei Animation produced the first film in Computer Graphics of Saint Seiya. However, the film project began in December 2010, with the first image / sketch being released at the time. The movie took about four years to complete and was released in Japanese theaters on June 21, 2014.",assets/debuts/movie-legend-of-sanctuary.jpg
27,Gigantomachy,3,2002,"The novel tells the struggle of the Saints of Athena against the Giants (Giants), allies of the Titans and led by the god Typhon, who commands through ""Fear."" Using his god cosmos, he can also increase the power of the Gigas, giving work to the Bronze Saints. Some new Saints appear in history, including Mei, the young man who must seal this evil. The story is divided into two volumes: The Mei Story and The Blood Story.",assets/debuts/book-gigantomachy.jpg
28,Golden Age,3,2016,"The story takes place shortly after the Poseidon Saga and before the Hades Saga. The Saints of Athena face the goddess Astreia, goddess of justice. The warriors of Astreia are from a class called the ""Golden Tribe"". Two appear in the story: Ex (light armor) and Machina (dark armor). Hyoga and Shiryu face Ex but end up defeated. Shun also suffers from the villain's hand, but receives help from Ikki, who beats Ex. Seiya fights against Machina.",assets/debuts/book-golden-age.jpg
29,Saint Seiya Online,5,2013,Saint Seiya Online is an MMORPG completely set in the manga universe of the series.,assets/debuts/game-saint-seiya-online.jpg
30,Knights of the Zodiac,2,2019,"Netflix, in partnership with Toei Animation, produced an anime remake of Saint Seiya using 3D Computer Graphics.",assets/debuts/streaming-knights-of-the-zodiac.jpg
31,Memorial Story - Shaka,4,1988,"The name of this side story is: Memorial Story - Shaka. It has 31 pages and was later released, in a timely fashion, when the tankobons were produced. As such, few fans knew that this passage of history was actually a side story. She tells the story of when Ikki on Death Queen Island challenged the Black Saints and leader Jango for possession of the Phoenix Bronze Armor.",assets/debuts/outside-story-memorial-story.jpg
32,Nebula Chain - Ties between Brothers,4,1988,"This side story was released on the pages of the rare Japanese magazine Jump Gold Selection 1. It was written by Takao Koyama (same as the story of the Durval movie), with illustrations by Nobuyoshi Sasakado (main animator of the Eris film). Ikki of Phoenix is believed to have died in the fight against Dococrates, but, as might be expected, he is an immortal bird. Secretly, Ikki visits his younger brother, Shun, and asks to go with him to his dead mother's grave. But when you return to Kido Mansion, an ominous shadow is approaching !?",assets/debuts/outside-story-nebula-chain.jpg
33,Saga! Presage of Ambition,4,1988,"This side story was released on the pages of the rare Japanese magazine Jump Gold Selection 2. It was written by Yoshiyuki Suga (the same one who wrote the story of the Eris and Abel movie), with illustrations by Shingo Araki and Michi Himeno (the two main ones). anime designers). It has six chapters and among other things, shows Shura going to the Grand Master Shion Room, which also has the presence of Ares (Arles), Grand Master's helper.",assets/debuts/outside-story-saga.jpg
34,Athena's Great Love,4,1989,"This side story was released on the pages of the rare Japanese magazine Jump Gold Selection 3. It was written by Yoshiyuki Suga (the same one who wrote the story of the Eris and Abel movie), with illustrations by Shingo Araki and Michi Himeno (the two main ones). anime designers). It has three chapters, the first of which depicts the end of the battle of the Twelve Houses of the Zodiac, with a reflection of Saori (Athena).",assets/debuts/outside-story-athenas-great-love.jpg
35,Golden Legend (Ougon Densetsu),5,1987,"Saint Seiya's first game was for Nintendo 8 bit, in the best fight and rpg style, it was released on August 10, 1987 (60 pin cartridge). Titled Saint Seiya: Ougon Densetsu (Saint Seiya: Golden Legend). At first he does not follow much the original story, since at the time that was released many characters had not yet appeared in the anime and Bandai, producer of the game in partnership with Tose, decided to make adaptations. The game was also released in France (72-pin cartridge) on December 30, 1987.",assets/debuts/game-golden-legend.jpg
36,Episode G - Requiem,1,2020,"Episode G Requiem is the name of the third and final manga series of Episode G, by the Saint Seiya. The publication will starts in January 28, 2020 on the Manga Cross website (the same one that had been publishing Episode G Assassin).",assets/debuts/manga-episodio-g-requiem.jpg
37,Omega: Ultimate Cosmo,5,2012,"The game has an original story. The seal that held Poseidon in Athena's amphora lost its effect, freeing his soul again. Stones (Aqua Drops), representing the scales of the marinas appear with Sorento. These stones are called Aqua Drops. Kouga, Yuna and Ryuho consider Poseidon as an ally. Souma, Haruto and Eden are against him. This will all take place in an unprecedented location, Thalassa Island.",assets/debuts/game-saint-seiya -omega-ultimate-cosmo.jpg
38,Destiny,1,2019,"The Destiny manga is the third miniseries designed by master Masami Kurumada. It has a single chapter and the story is focused once again on the brothers Saga and Kanon of Gemini. It is a direct continuation of the miniseries Origin. The first disclosure appeared on the Kurumada website, on May 21, 2019, with images of the story outline. It was already possible to see that a part would take place during the Poseidon Saga.",assets/debuts/manga-destiny.jpg
39,Meiou Iden Dark Wing,1,2020,Saint Seiya: Meiou Iden - Dark Wing is an upcoming spin-off manga based on Saint Seiya. The story follows Shoichiro Tokito who is a simple high school student who gets into an accident and wakes up in a dark world. He is joined by a Cattleya Mikagami.,assets/debuts/manga-meiouiden.jpg
40,Awakening: Knights of the Zodiac,5,2019,"The officially licensed hero collection strategy RPG based on Masami Kurumada’s renowned Saint Seiya series is now available! Relive the epic saga, enriched with stunning landscapes and beautiful graphics to bring all your favorite Saints to life in full 3D! Enjoy the original BGM from the show as well as performances from the official Japanese voice actors for a truly first-class audiovisual experience!",assets/debuts/game-awakening.jpg
41,Galaxy Spirits,5,2016,"The company DeNA, the same company that created the game Saint Seiya Galaxy Card Battle, recently launched the Japanese version of the game Saint Seiya Rebirth. Entitled Saint Seiya Galaxy Spirits, this is yet another RPG, in the style of Bandai's Zodiac Brave, but with a mix of 2D and 3D graphics, with free download for Android and iOS smartphones.",assets/debuts/game-galaxy-spirits.jpg
42,Final Edition,1,2021,"The classic manga that we already know, but with dialogue changes and new and/or redone scenes. The manga also includes chapters from already released miniseries.",assets/debuts/manga-final-edition.jpg
43,The Lost Canvas - Extra,1,2021,"Japanese tankobon manga from Lost Canvas, containing all ten extra chapters published in Japanese magazine Champion Red until 2021",assets/debuts/manga-the-lost-canvas-extra.jpg
44,The Lost Canvas - Special Defteros,1,2022,"short series of the manga Lost Canvas, this focused on the Gold Saint Defteros de Gemini",assets/debuts/manga-the-lost-canvas-special.jpg
